"date","pageviews","visit_duration","visitors","visits","bounce_rate"
2023-09-27,10,1017,2,2,50
2023-09-28,34,1354,3,4,0
2023-09-29,81,437,7,9,56
2023-09-30,0,NA,0,0,0
2023-10-01,5,105,1,1,0
2023-10-02,158,183,54,66,64
2023-10-03,161,164,65,72,75
2023-10-04,126,156,50,56,71
2023-10-05,466,171,225,243,67
2023-10-06,246,229,96,108,61
2023-10-07,99,223,48,54,69
2023-10-08,201,232,97,111,64
2023-10-09,238,220,107,116,59
2023-10-10,203,178,71,79,65
2023-10-11,90,106,54,58,66
2023-10-12,94,310,40,42,62
2023-10-13,152,131,91,98,72
2023-10-14,39,476,14,15,67
2023-10-15,83,256,23,25,56
2023-10-16,112,224,54,60,66
2023-10-17,131,175,48,59,68
2023-10-18,97,417,24,30,60
2023-10-19,61,88,34,38,63
2023-10-20,59,122,24,24,58
2023-10-21,21,114,15,16,75
2023-10-22,3,266,2,2,50
2023-10-23,39,61,24,24,79
2023-10-24,57,191,33,36,74
2023-10-25,156,177,67,73,66
2023-10-26,95,114,38,43,60
2023-10-27,61,232,30,35,66
2023-10-28,19,156,9,11,73
2023-10-29,34,163,18,19,74
2023-10-30,90,167,37,42,71
2023-10-31,1307,315,238,358,29
2023-11-01,315,339,65,78,35
2023-11-02,538,276,110,170,30
2023-11-03,109,218,32,35,37
2023-11-04,110,263,26,33,48
2023-11-05,113,243,27,30,40
2023-11-06,361,353,70,92,27
2023-11-07,1286,388,162,253,15
2023-11-08,279,279,65,70,23
2023-11-09,260,317,55,64,17
2023-11-10,119,195,38,42,19
2023-11-11,97,224,16,24,33
2023-11-12,112,254,25,33,15
2023-11-13,295,289,45,68,21
2023-11-14,956,201,144,233,13
2023-11-15,177,150,38,46,13
2023-11-16,171,273,34,43,30
2023-11-17,118,189,29,35,23
2023-11-18,71,121,15,21,24
2023-11-19,103,441,15,20,15
2023-11-20,335,409,37,59,24
2023-11-21,619,248,110,158,14
2023-11-22,207,83,62,73,19
2023-11-23,204,343,36,41,22
2023-11-24,94,102,24,29,21
2023-11-25,89,420,11,14,14
2023-11-26,50,710,8,13,15
2023-11-27,246,375,35,52,27
2023-11-28,654,272,93,134,18
2023-11-29,88,130,29,30,30
2023-11-30,137,106,23,32,23
2023-12-01,75,365,19,20,21
2023-12-02,110,509,14,16,12
2023-12-03,49,120,13,21,38
2023-12-04,186,155,27,35,29
2023-12-05,440,260,69,94,16
2023-12-06,198,261,27,36,17
2023-12-07,75,53,18,19,11
2023-12-08,72,336,17,19,26
2023-12-09,40,134,7,7,14
2023-12-10,23,347,6,6,0
2023-12-11,142,313,22,28,43
2023-12-12,619,295,73,101,8
2023-12-13,51,83,17,20,25
2023-12-14,50,79,12,12,42
2023-12-15,47,86,9,11,27
2023-12-16,22,518,5,5,20
2023-12-17,21,13,5,7,29
2023-12-18,121,241,22,27,26
2023-12-19,33,56,12,15,47
2023-12-20,31,100,9,11,45
2023-12-21,82,80,25,29,34
2023-12-22,28,393,5,5,0
2023-12-23,1,0,1,1,100
2023-12-24,22,879,3,3,33
2023-12-25,6,558,2,2,0
2023-12-26,6,279,3,3,0
2023-12-27,60,206,7,8,0
2023-12-28,16,8,5,5,0
2023-12-29,51,66,9,11,45
2023-12-30,84,261,9,12,25
2023-12-31,150,1019,6,14,14
2024-01-01,46,857,6,6,0
2024-01-02,4,0,3,3,67
2024-01-03,25,719,3,3,33
2024-01-04,91,507,14,19,26
2024-01-05,39,100,5,5,20
2024-01-06,42,30,5,7,43
2024-01-07,111,302,10,15,20
2024-01-08,65,210,12,12,33
2024-01-09,63,108,11,15,47
2024-01-10,47,51,7,8,12
2024-01-11,27,56,5,5,40
2024-01-12,21,24,5,5,40
2024-01-13,50,394,5,7,0
2024-01-14,42,176,7,8,38
2024-01-15,180,375,17,26,23
2024-01-16,639,407,80,131,26
2024-01-17,140,298,16,22,41
2024-01-18,94,572,15,24,42
2024-01-19,81,180,14,21,24
2024-01-20,34,258,10,12,33
2024-01-21,51,569,4,7,29
2024-01-22,119,171,16,26,42
2024-01-23,193,269,32,42,38
2024-01-24,46,174,13,14,50
2024-01-25,80,98,13,18,28
2024-01-26,74,342,10,14,21
2024-01-27,87,417,12,15,33
2024-01-28,78,614,7,10,30
2024-01-29,34,61,8,10,40
2024-01-30,83,288,12,14,36
2024-01-31,75,300,10,11,27
2024-02-01,61,87,12,14,14
2024-02-02,184,725,10,13,31
2024-02-03,62,245,9,14,43
2024-02-04,37,55,5,12,42
2024-02-05,44,429,9,9,56
2024-02-06,87,144,15,20,35
2024-02-07,27,42,8,11,45
2024-02-08,84,615,8,10,50
2024-02-09,103,152,22,32,31
2024-02-10,70,574,9,17,24
2024-02-11,93,293,13,23,26
2024-02-12,140,301,23,34,26
2024-02-13,241,461,20,32,14
2024-02-14,86,393,12,14,43
2024-02-15,45,15,13,17,71
2024-02-16,89,398,8,17,35
2024-02-17,56,180,6,8,25
2024-02-18,7,23,2,3,33
2024-02-19,76,134,12,14,29
2024-02-20,100,207,12,19,32
2024-02-21,78,298,14,18,39
2024-02-22,53,401,9,10,30
2024-02-23,21,16,6,6,0
2024-02-24,11,4,5,8,62
2024-02-25,72,804,3,8,25
2024-02-26,19,3,7,10,60
